Fase,Què Faràs Avui?,Temps (min),Objectiu i Indicacions Clau,Metrònom (bpm)
I,Escalfament i Tècnica,20,"Objectiu: Preparar el cos, la ment i l'instrument.",
I.1,Preparació i So Fonamental,5,Estiraments lleugers i concentració. Toca notes llargues per centrar el teu so.,No s'usa. El focus és la qualitat del so i la respiració.
I.2,Tècnica Diària (Escales/Arpegis),15,Practica la tècnica amb uniformitat i precisió.,Inici Lent: 60-80 bpm (a 4 notes per pulsació). Objectiu Mitjà: 100-120 bpm (a 4 notes per pulsació).
II,Treball del Repertori,40,Objectiu: Abordar les obres i resoldre els problemes tècnics i musicals.,
II.1,Peça de Repàs o Fluïdesa,10,Toca una peça o fragment que ja domines per guanyar confiança i musicalitat.,Al tempo indicat a la partitura.
II.2,El Repte (Passatges Difícils),25,"Practica lenta i concentrada. Aïlla els errors i treballa-los amb estratègies (diferents ritmes, a l'inrevés).",Inici de Treball: 40-60 bpm. Augmenta de manera gradual (5 en 5 bpm) fins al 75% del tempo real.
II.3,Simulació,5,Toca un fragment llarg sense aturar-te (encara que fallis). Simula una situació d'actuació.,Al 80% - 100% del tempo real.
III,Desenvolupament i Planificació,15,Objectiu: Desenvolupar l'oïda i organitzar la pràctica futura.,
III.1,Lectura a Primera Vista,5,Llegeix una peça nova de nivell inferior. La clau és mantenir el tempo.,Constant: 60-70 bpm.
III.2,Oïda i Creativitat,5,Toca intervals i acords d'oïda. Intenta entonar melodies conegudes a l'instrument.,No s'usa (Focus en l'oïda interna).
III.3,Revisió i Objectius,5,Guarda l'instrument. Anota: 1. Què has après avui? 2. Quin és l'objectiu CLAR de demà?,No s'usa (Planificació mental).
TOTAL,,75 min,,
